Freq_Hz_,S11_REAL,S11_IMAG
436000000,37.0106706845992,23.3437987450173
437000000,37.1339679785085,23.6536937580972
438000000,37.1871502752225,24.0548814261385
439000000,37.3687012248473,24.3820186748589
440000000,37.4078902754462,24.7484286315551
441000000,37.5286240172696,25.0618261446931
442000000,37.6716466059725,25.4711249073591
443000000,37.7797323211693,25.8082164653539
444000000,37.8589806518759,26.2307178512173
445000000,38.0025442524255,26.6089341374931
446000000,38.141395077065,26.9202759895719
447000000,38.2199719288992,27.3113915483847
448000000,38.3236533646389,27.6869758559878
449000000,38.5108898087389,28.0669384500483
450000000,38.6562444048668,28.3962298059946
451000000,38.7725095135426,28.7484429541796
452000000,38.8622549058042,29.130553767123
453000000,38.9884609771521,29.4839511024529
454000000,39.2077863118451,29.829604644308
455000000,39.2771562871224,30.2111377335932
